lsoacode,hpmd202003,hpmd202103
E01012253,125250,111000
E01012254,56000,66841
E01012255,165373,172611
E01012256,176416,176309
E01012257,132591,154500
E01012258,83895,90700
E01012259,95100,110563
E01012260,157750,165783
E01012261,102279,103912
E01012262,65873,75846
E01012264,156710,151063
E01012266,146838,108805
E01012267,71300,52950
E01012268,115543,96929
E01012269,247127,312639
E01012270,233000,239830
E01012271,91722,75357
E01012272,116762,113100
E01012273,68778,78713
E01012274,95463,80963
E01012275,93869,100700
E01012276,102024,111775
E01012277,94786,92625
E01012278,110625,91083
E01012279,111035,115263
E01012280,119184,151361
E01012281,140517,157625
E01012282,96933,108300
E01012283,123750,91555
E01012284,109833,
E01012285,159189,133691
E01012286,49090,58833
E01012287,71756,86389
E01012288,57527,55875
E01012289,84500,99676
E01012290,135213,149291
E01012291,124674,115158
E01012292,100950,106375
E01012294,249846,331804
E01012295,142775,156390
E01012296,151238,167227
E01012297,203655,225143
E01012298,407320,427432
E01012299,318650,339328
E01012300,207346,190233
E01012301,223534,217343
E01012302,161138,225000
E01012303,269210,223934
E01032542,104703,115125
E01032543,62445,62286
E01032544,151314,165518
E01033474,177313,206519
E01033475,234675,247744
E01033476,397526,437702
E01033477,57167,79366
E01033478,253604,258063
E01033479,187765,203939
E01033480,296982,264657
E01012304,65563,67315
E01012305,58883,65346
E01012306,108870,117597
E01012307,84918,93032
E01012309,138307,143846
E01012310,129269,141118
E01012311,122675,137627
E01012312,115929,86493
E01012313,101879,117996
E01012314,70313,
E01012315,224458,228224
E01012316,248964,243054
E01012317,113611,114936
E01012318,105212,106445
E01012319,114994,107017
E01012323,97700,101432
E01012324,110838,121586
E01012325,147794,135754
E01012326,132458,122227
E01012327,158353,143368
E01012328,123118,121594
E01012329,175761,156891
E01012330,155050,178588
E01012331,140456,128782
E01012332,101850,106216
E01012333,116538,150271
E01012334,239406,247043
E01012335,285935,240258
E01012336,308300,294559
E01012337,311054,237160
E01012338,262748,247502
E01012339,270761,322606
E01012340,93543,104319
E01012341,96786,97514
E01012342,135112,135798
E01012343,125877,128682
E01012344,137127,140602
E01012345,229218,263473
E01012346,225681,228374
E01012347,205111,242492
E01012348,209022,210282
E01012349,56903,51567
E01012350,91334,87477
E01012351,139680,169930
E01012352,62650,78777
E01012353,62174,65304
E01012354,64636,110845
E01012355,115207,133400
E01012356,147404,170906
E01012357,71630,85295
E01012358,123377,153369
E01012359,,
E01012360,277955,306520
E01012361,344741,328898
E01012362,70929,60500
E01012363,96676,100004
E01012364,100683,117700
E01012365,152167,163500
E01012366,243261,248616
E01032545,119472,125594
E01032546,175248,171232
E01033481,182191,182274
E01033482,163717,183760
E01033483,67931,65750
E01033484,99104,97220
E01012367,79610,87167
E01012368,139627,140788
E01012369,209919,151000
E01012370,90174,103913
E01012371,153381,150438
E01012372,198688,215542
E01012373,174080,184495
E01012374,203384,249469
E01012375,287889,364904
E01012376,245299,255976
E01012377,139923,162681
E01012378,179395,176938
E01012379,119648,124147
E01012380,118885,
E01012381,,
E01012382,66917,
E01012383,122921,119813
E01012384,161795,209082
E01012385,329311,365497
E01012386,286032,252166
E01012387,363600,324950
E01012388,114407,120591
E01012389,173065,179134
E01012390,179421,160890
E01012391,122667,118811
E01012392,211488,217702
E01012393,258035,295674
E01012394,192290,169569
E01012395,259600,272217
E01012396,85531,85800
E01012397,,108600
E01012398,143664,160389
E01012399,87456,104643
E01012400,140592,139844
E01012401,309154,278756
E01012402,106582,119286
E01012403,96600,102708
E01012404,142917,132563
E01012405,121370,134369
E01012406,138000,162357
E01012407,93159,94571
E01012408,,100975
E01012409,85500,92406
E01012410,148684,178647
E01012411,164131,161176
E01012412,128694,102358
E01012413,103324,112883
E01012414,132280,167364
E01012415,188825,188038
E01012416,184478,209458
E01012417,117394,112262
E01012418,254896,228803
E01012419,77470,87825
E01012420,,127665
E01012421,180895,247913
E01012422,,93850
E01012423,142417,155750
E01012424,103745,101071
E01012425,119273,113350
E01012426,199893,193091
E01012427,177950,147139
E01012428,172020,168511
E01012429,130148,126283
E01012430,103176,69167
E01012431,168063,126499
E01012432,126152,138550
E01012433,101700,121632
E01012434,168348,173066
E01012435,261786,276898
E01012436,86000,97600
E01012437,82700,
E01012438,93400,
E01012439,94429,84750
E01012440,130458,141556
E01012441,85041,85341
E01012442,100639,127850
E01012443,124482,129393
E01012444,142162,141557
E01012445,,
E01012446,469114,541893
E01012447,510750,519060
E01012448,358207,379754
E01012449,367366,390177
E01012450,248891,315966
E01012451,270542,273288
E01012452,497969,655417
E01012453,115611,117100
E01012454,128424,125850
E01012455,92250,111268
E01012457,94848,101463
E01012458,138856,160095
E01012459,136857,143962
E01012460,122167,151723
E01012461,205583,261661
E01012462,171458,160352
E01012463,265944,318024
E01012464,177125,191571
E01012465,147834,159725
E01012466,132014,126438
E01012467,159136,159100
E01012468,277039,324299
E01012469,168497,246489
E01012470,128938,136969
E01012471,413333,327527
E01012472,392480,386520
E01012473,399152,375024
E01012474,210571,206150
E01012475,223794,205861
E01012476,312031,265717
E01012477,347012,562734
